time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI30d,SplyCur,TxCnt,TxTfrCnt
2018-04-04,4488,306920,1614335061,1614335061,1.16017851,5647228121.87419,0,0,0.0008328577255525573,5.64722812187419,-28.996345960984392,1000000000,5920,6009
2018-04-05,5376,308461,1614335061,1614335061,1.2685354,6322235066.54279,0,0,0.0009299561711722556,6.32223506654279,-11.189759947517873,1000000000,7279,7427
2018-04-06,9108,306171,1614335061,1614335061,1.18314911,5813665511.36444,0,0,0.0008794602888458592,5.81366551136444,-9.187834300405264,1000000000,11548,11626
2018-04-07,5132,306579,1614335061,1614335061,1.18765156,5862219671.99377,0,0,0.0008512663413197429,5.86221967199377,-3.975778375895672,1000000000,6976,6966
2018-04-08,12486,307642,1614335061,1614335061,1.19958394,5955799935.17552,0,0,0.0008496152988588636,5.95579993517552,-1.2856245619650237,1000000000,14394,14463
2018-04-09,10358,308586,1614335061,1614335061,1.18051,5812374225.27889,0,0,0.0008627678036907472,5.81237422527889,1.8912647534844285,1000000000,13071,13237
2018-04-10,8610,308639,1614335061,1614335061,1.20322994,5975332620.1324,0,0,0.0008765702322826263,5.9753326201324,-0.9233962265938523,1000000000,11425,11605
2018-04-11,16378,309775,1614335061,1614335061,1.51674252,8461636531.35055,0,0,0.0012184157590256646,8.46163653135055,47.83302636617401,1000000000,25287,25473
2018-04-12,26798,307640,1614335061,1614335061,1.53528497,8811576693.34851,0,0,0.0011147784045548407,8.81157669334851,51.82353018175383,1000000000,37132,37514
2018-04-13,20028,308162,1614335061,1614335061,1.51684132,8857608549.44135,0,0,0.001118517008132991,8.85760854944135,67.94558319801253,1000000000,27308,27502
2018-04-14,26192,304993,1614335061,1614335061,1.49482483,8758260471.09931,0,0,0.0010939049813680677,8.75826047109931,70.78721306373035,1000000000,35964,36154
2018-04-15,20751,297252,1614335061,1614335061,1.45830486,8484862848.56104,0,0,0.0010170926772128483,8.48486284856104,66.92558383731763,1000000000,26526,26711
2018-04-16,9617,298175,1614335061,1614335061,1.39976006,8054829824.23544,0,0,0.0010009752340141397,8.05482982423544,74.06053512337381,1000000000,12842,12941
2018-04-17,8236,299389,1614335062,1614335062,1.43879007,8426145253.34899,0,0,0.0010682587705501897,8.42614525334899,83.75304650415443,1000000000,11971,12284
2018-04-18,6521,300604,1614335062,1614335062,1.50357849,9049779450.87253,0,0,0.0011086564415567187,9.04977945087253,53.53680079102156,1000000000,8872,9375
2018-04-19,6850,301848,1614335062,1614335062,1.52742443,9381897798.31437,0,0,0.0011340426524212581,9.38189779831437,57.88445805643533,1000000000,9703,9837
2018-04-20,9682,303460,1614335062,1614335062,1.69575871,11504145701.8013,0,0,0.0013014473927767719,11.5041457018013,68.2233500903345,1000000000,14002,14279
2018-04-21,8110,304863,1614335062,1614335062,1.63984112,11021262927.9369,0,0,0.0012434379375585811,11.0212629279369,60.793721550489366,1000000000,11421,11602
2018-04-22,7913,305875,1614335062,1614335062,1.65821783,11325345086.4771,0,0,0.0012868307845105595,11.3253450864771,65.05547968074217,1000000000,11125,11417
2018-04-23,8003,307517,1614335062,1614335062,1.67519271,11585830631.6038,0,0,0.0012972914594852893,11.5858306316038,76.60429657029336,1000000000,9882,10201
2018-04-24,15996,311260,1614335062,1614335062,1.98428771,15239626810.2053,0,0,0.0015788737323674821,15.2396268102053,137.40496525991526,1000000000,22293,23458
2018-04-25,12758,313625,1614335062,1614335062,1.88539894,14370365415.6416,0,0,0.0016227599699290035,14.3703654156416,146.0530832009582,1000000000,17057,17492
2018-04-26,9773,315880,1614335062,1614335062,1.93895474,15384766478.3477,0,0,0.001660574107513011,15.3847664783477,161.99037753935377,1000000000,13109,13314
2018-04-27,11797,318829,1614335062,1614335062,2.03546208,16739514759.8119,0,0,0.00186381229584733,16.7395147598119,170.82717415383613,1000000000,15456,15869
2018-04-28,16798,321977,1614335062,1614335062,2.15931811,18827529918.2675,0,0,0.002015401760764008,18.8275299182675,218.91344037725622,1000000000,21188,21774
